X,Y,OBJECTID,INCIDENT_NUMBER,INCIDENT_TYPE,INCIDENT_DATE,INCIDENT_YEAR,REPORTING_DISTRICT,INCIDENT_LOCATION,CITY,STATE,ZIP,HANDLING_UNIT_ID,HANDLING_UNIT_NAME,HIT_SHOOTING,NON_HIT_SHOOTING,ANIMAL_SHOOTING,OTHER_SHOOTING,UNINTENTIONAL_DISCHARGE,WARNING_SHOT,APPROX_LATITUDE,APPROX_LONGITUDE
-118.016085872,34.0266181200001,34,1000040,ANIMAL SHOOTING INCIDENT,2010/10/05 14:03:59+00,2010,1410,13100 CROSSROADS PARKWAY,CITY OF INDUSTRY,CA,91746,IDT,INDUSTRY STN,,,1,,,,34.0266181196,-118.0160858718
-118.261961884,33.889006169,35,1000041,ANIMAL SHOOTING INCIDENT,2010/10/20 23:02:00+00,2010,2873,15700 S. HASKINS AVENUE,COMPTON,CA,90220,COM,COMPTON STN,,,1,,,,33.8890061685,-118.2619618839
-118.197276233,33.893988226,36,1000042,ANIMAL SHOOTING INCIDENT,2010/10/21 11:19:59+00,2010,2852,15300 S. BUTLER AVENUE,COMPTON,CA,90221,COM,COMPTON STN,,,1,,,,33.8939882264,-118.1972762333
-118.183830447,34.047003214,37,1000043,ANIMAL SHOOTING INCIDENT,2010/10/24 10:34:59+00,2010,0272,1000 N. GAGE STREET,LOS ANGELES,CA,90022,ELA,EAST LA STN,,,1,,,,34.0470032138,-118.1838304474
-118.300119996,33.9249185580001,38,1000049,ANIMAL SHOOTING INCIDENT,2010/10/25 11:10:00+00,2010,0371,11800 RAYMOND AVENUE,LOS ANGELES,CA,90044,SLA,SOUTH LOS ANGELES STATION,,,1,,,,33.9249185581,-118.3001199956
-118.238000883,33.974743694,39,1000050,ANIMAL SHOOTING INCIDENT,2010/10/30 22:21:59+00,2010,2171,1900 E. 71ST STREET,LOS ANGELES,CA,90001,CEN,CENTURY STN,,,1,,,,33.9747436935,-118.238000883
-118.225452211,33.8969782090001,40,1000051,ANIMAL SHOOTING INCIDENT,2010/11/02 22:05:00+00,2010,2814,300 N. CULVER AVENUE,COMPTON,CA,90220,COM,COMPTON STN,,,1,,,,33.8969782086,-118.2254522106
-118.187939963,34.6700035270001,41,1000006,ANIMAL SHOOTING INCIDENT,2010/11/16 12:53:59+00,2010,1192,3200 CABANA LANE,LANCASTER,CA,93536,LCS,LANCASTER STN,,,1,,,,34.6700035271,-118.1879399631
-118.271003833,33.993359474,42,1000172,ANIMAL SHOOTING INCIDENT,2010/12/01 11:29:59+00,2010,3621,200 E. 54TH STREET,LOS ANGELES,CA,90011,CEN,CENTURY STN,,,1,,,,33.9933594735,-118.271003833
-118.215096843,33.9116023760001,43,1000052,ANIMAL SHOOTING INCIDENT,2010/12/15 04:30:00+00,2010,2823,700 E. PINE STREET,COMPTON,CA,90221,COM,COMPTON STN,,,1,,,,33.9116023764,-118.2150968431
-118.252999661,33.9587999880001,44,1000184,ANIMAL SHOOTING INCIDENT,2010/12/16 12:00:00+00,2010,2174,E. 87TH STREET AND HOOPER AVENUE,LOS ANGELES,CA,90002,CEN,CENTURY STN,,,1,,,,33.9587999876,-118.2529996612
-118.231725437,33.949997716,45,1000053,ANIMAL SHOOTING INCIDENT,2010/12/16 15:59:59+00,2010,2177,E. 95TH STREET AND JUNIPER AVENUE,LOS ANGELES,CA,90002,CEN,CENTURY STN,,,1,,,,33.9499977162,-118.2317254368
-118.203019531,33.992855826,46,1000054,ANIMAL SHOOTING INCIDENT,2010/12/19 19:30:00+00,2010,0250,3500 E. 54TH STREET,MAYWOOD,CA,90272,COP,COPS BUREAU,,,1,,,,33.9928558256,-118.2030195313
-118.093003844,34.5727164410001,47,1000055,ANIMAL SHOOTING INCIDENT,2010/12/20 11:45:00+00,2010,2608,20TH STREET E. AND  E. AVENUE R,PALMDALE,CA,93550,COP,COPS BUREAU,,,1,,,,34.5727164409,-118.0930038439
-118.231999562,33.8871876800001,48,1000056,ANIMAL SHOOTING INCIDENT,2010/12/21 02:29:59+00,2010,2836,CENTER AVENUE AND RAYMOND STREET,COMPTON,CA,90220,COM,COMPTON STN,,,1,,,,33.8871876802,-118.2319995625
-117.996195151,34.1240048780001,49,1000012,ANIMAL SHOOTING INCIDENT,2011/01/19 19:30:00+00,2011,0582,2200 CALIFORNIA AVENUE,MONROVIA,CA,91016,TEM,TEMPLE CITY STN,,,1,,,,34.1240048782,-117.9961951509
-117.953037165,33.98398652,50,1000073,ANIMAL SHOOTING INCIDENT,2011/01/24 11:29:59+00,2011,1471,2600 PUNTA DEL ESTA DRIVE,HACIENDA HEIGHTS,CA,91745,IDT,INDUSTRY STN,,,1,,,,33.9839865198,-117.9530371648
-118.35818678,33.782687364,51,1000014,ANIMAL SHOOTING INCIDENT,2011/01/26 06:14:59+00,2011,0384,100 SANTA BELLA ROAD,ROLLING HILLS ESTATE,CA,90274,LMT,LOMITA STN,,,1,,,,33.7826873644,-118.35818678
-118.249000057,33.957000002,52,1000035,ANIMAL SHOOTING INCIDENT,2011/02/07 12:14:59+00,2011,2174,8800 MARY AVENUE,LOS ANGELES,CA,90002,CEN,CENTURY STN,,,1,,,,33.9570000018,-118.2490000568
-118.252030948,33.887047959,53,1000081,ANIMAL SHOOTING INCIDENT,2011/02/10 09:20:00+00,2011,2031,2300 W. ALONDRA BOULEVARD,COMPTON,CA,90220,COM,COMPTON STN,,,1,,,,33.8870479592,-118.252030948
-118.260999019,33.8293853710001,54,1000147,ANIMAL SHOOTING INCIDENT,2011/02/28 15:59:59+00,2011,1628,800 CALBAS STREET,CARSON,CA,90745,CSN,CARSON STN,,,1,,,,33.8293853707,-118.2609990195
-118.259234403,33.901963466,55,1000009,ANIMAL SHOOTING INCIDENT,2011/03/09 06:40:00+00,2011,2872,14300 S. CAHITA AVENUE,COMPTON,CA,90220,COM,COMPTON STN,,,1,,,,33.9019634657,-118.2592344026
-118.338440593,34.2060188340001,56,1000013,ANIMAL SHOOTING INCIDENT,2011/04/10 10:28:00+00,2011,0399,KENNETH ROAD AND FREDERIC STREET,BURBANK,CA,91504,CSB,COUNTY SERVICES BUREAU,,,1,,,,34.2060188336,-118.3384405933
-118.178968895,34.692945276,57,1000011,ANIMAL SHOOTING INCIDENT,2011/04/15 21:59:59+00,2011,1127,44600 OVERLAND DRIVE,LANCASTER,CA,93536,LCS,LANCASTER STN,,,1,,,,34.6929452764,-118.1789688951
-118.254348255,34.7029970630001,58,1000117,ANIMAL SHOOTING INCIDENT,2011/05/14 17:35:00+00,2011,1159,45100 70TH STREET WEST,LANCASTER,CA,93536,LCS,LANCASTER STN,,,1,,,,34.7029970627,-118.254348255
-118.183952563,34.0438321550001,59,1000004,ANIMAL SHOOTING INCIDENT,2011/06/02 07:20:00+00,2011,0977,800 GAGE AVENUE,LOS ANGELES,CA,90063,WHD,WEST HOLLYWOOD STN,,,1,,,,34.0438321547,-118.1839525629
-118.125456539,34.600997749,60,1000120,ANIMAL SHOOTING INCIDENT,2011/06/03 08:26:59+00,2011,2619,300 E. AVENUE P-3,PALMDALE,CA,93550,PLM,PALMDALE STN,,,1,,,,34.6009977495,-118.1254565394
-117.992072206,34.53505856,61,1000057,ANIMAL SHOOTING INCIDENT,2011/06/11 17:34:00+00,2011,2660,37400 77TH STREET E.,LITTLEROCK,CA,93536,LCS,LANCASTER STN,,,1,,,,34.5350585596,-117.9920722055
-118.246056128,33.8919966780001,62,1000058,ANIMAL SHOOTING INCIDENT,2011/06/13 09:49:59+00,2011,2832,1400 W. 154TH STREET,COMPTON,CA,90220,COM,COMPTON STN,,,1,,,,33.8919966779,-118.2460561282
-118.124191676,33.889999608,63,1000173,ANIMAL SHOOTING INCIDENT,2011/06/13 17:50:00+00,2011,1332,15700 LEAHY AVENUE,BELLFLOWER,CA,90706,LKD,LAKEWOOD STN,,,1,,,,33.8899996078,-118.1241916761
-118.054997828,34.0607144040001,64,1000059,ANIMAL SHOOTING INCIDENT,2011/06/14 17:45:00+00,2011,0560,9800 GIOVANE STREET,EL MONTE,CA,91733,TEM,TEMPLE CITY STN,,,1,,,,34.0607144037,-118.0549978276
-118.401623934,34.2532718950001,65,1000181,ANIMAL SHOOTING INCIDENT,2011/06/15 08:45:00+00,2011,4332,10100 BRADLEY AVENUE,PACOIMA,CA,91331,CMU,CIVIL MANAGEMENT UNIT,,,1,,,,34.2532718946,-118.4016239338
-117.812729199,34.6270060630001,66,1000060,ANIMAL SHOOTING INCIDENT,2011/06/30 08:05:00+00,2011,1197,41000 178TH STREET W.,LAKE LOS ANGELES,CA,93535,LCS,LANCASTER STN,,,1,,,,34.6270060635,-117.812729199
-118.06516623,34.0839918550001,67,1000061,ANIMAL SHOOTING INCIDENT,2011/07/14 07:20:00+00,2011,3605,9300 ROSE STREET,ROSEMEAD,CA,91770,NARCO,NARCOTICS BUREAU,,,1,,,,34.0839918555,-118.0651662296
-118.205449331,34.6959972860001,68,1000062,ANIMAL SHOOTING INCIDENT,2011/08/02 14:15:00+00,2011,1127,4200 W. LANCASTER BOULEVARD,LANCASTER,CA,93536,COP,COPS BUREAU,,,1,,,,34.6959972858,-118.2054493315
-118.087008647,33.99400717,69,1000067,ANIMAL SHOOTING INCIDENT,2011/08/23 12:00:00+00,2011,1514,5500 MANZANAR AVENUE,PICO RIVERA,CA,90660,COP,COPS BUREAU,,,1,,,,33.9940071696,-118.0870086471
-118.236171286,33.902992582,70,1000068,ANIMAL SHOOTING INCIDENT,2011/08/31 19:15:00+00,2011,2814,700 W. ROSECRANS AVENUE,COMPTON,CA,90222,IRC,INMATE RECEPTION CENTER,,,1,,,,33.9029925822,-118.2361712858
-118.270997584,33.969636188,71,1000063,ANIMAL SHOOTING INCIDENT,2011/09/06 20:29:59+00,2011,0299,200 E. 76TH PLACE,LOS ANGELES,CA,90003,OSS,OPERATION SAFE STREETS BUREAU,,,1,,,,33.969636188,-118.2709975836
-118.298008339,34.6259842960001,72,1000064,ANIMAL SHOOTING INCIDENT,2011/10/27 12:55:00+00,2011,2653,9500 NORTHSIDE DRIVE,LEONA VALLEY,CA,93551,NARCO,NARCOTICS BUREAU,,,1,,,,34.625984296,-118.2980083385
-118.199593481,34.001057105,73,1000065,ANIMAL SHOOTING INCIDENT,2011/11/09 22:40:00+00,2011,0250,3700 EVERETT AVENUE,MAYWOOD,CA,90270,ELA,EAST LA STN,,,1,,,,34.0010571049,-118.1995934811
-118.300000016,33.9449952080001,74,1000069,ANIMAL SHOOTING INCIDENT,2011/11/13 08:45:00+00,2011,0371,W. 99TH STREET AND NORMANDIE AVENUE,LOS ANGELES,CA,90044,SLA,SOUTH LOS ANGELES STATION,,,1,,,,33.9449952081,-118.3000000161
-118.085001717,34.6751776040001,75,1000070,ANIMAL SHOOTING INCIDENT,2011/11/17 22:09:59+00,2011,1137,43600 SERENITY COURT,LANCASTER,CA,93535,LCS,LANCASTER STN,,,1,,,,34.675177604,-118.0850017168
-118.141248226,34.7165469350001,76,1000174,ANIMAL SHOOTING INCIDENT,2011/11/19 13:41:59+00,2011,1121,700 W. AVENUE H-2,LANCASTER,CA,93534,LCS,LANCASTER STN,,,1,,,,34.7165469352,-118.1412482258
-118.278087628,33.8180025770001,77,1000066,ANIMAL SHOOTING INCIDENT,2011/11/21 16:25:59+00,2011,1623,200 W. 228TH STREET,CARSON,CA,90745,CSN,CARSON STN,,,1,,,,33.8180025772,-118.2780876284
-118.352000855,33.916420041,78,1000071,ANIMAL SHOOTING INCIDENT,2011/11/29 23:45:00+00,2011,0399,12800 HAWTHORNE BOULEVARD,HAWTHORNE,CA,90250,SLA,SOUTH LOS ANGELES STATION,,,1,,,,33.9164200414,-118.3520008551
-118.330588824,33.8899997090001,79,1000072,ANIMAL SHOOTING INCIDENT,2011/12/14 11:23:00+00,2011,0388,15500 FAYSMITH AVENUE,GARDENA,CA,90249,SLA,SOUTH LOS ANGELES STATION,,,1,,,,33.889999709,-118.3305888238
-118.134036869,34.017871583,80,1000075,ANIMAL SHOOTING INCIDENT,2012/02/01 08:00:00+00,2012,0287,600 SAYBROOK AVENUE,EAST LOS ANGELES,CA,90022,ELA,EAST LA STN,,,1,,,,34.0178715834,-118.1340368686
-118.208930128,34.642068314,81,1000074,ANIMAL SHOOTING INCIDENT,2012/02/01 17:45:59+00,2012,2699,41800 MONTALLEGRO STREET,LANCASTER,CA,93536,PLM,PALMDALE STN,,,1,,,,34.6420683138,-118.2089301282
-118.248091356,33.959002582,82,1000076,ANIMAL SHOOTING INCIDENT,2012/02/13 07:40:00+00,2012,2176,8600 JOHN AVENUE,LOS ANGELES,CA,90002,CEN,CENTURY STN,,,1,,,,33.9590025817,-118.2480913561
-118.027820826,33.9401806440001,83,1000077,ANIMAL SHOOTING INCIDENT,2012/02/16 15:04:59+00,2012,0492,14200 BROADWAY,WHITTIER,CA,90604,NWK,NORWALK REGIONAL STN,,,1,,,,33.940180644,-118.0278208259
-118.18465957,34.0389991220001,84,1000078,ANIMAL SHOOTING INCIDENT,2012/02/28 07:09:59+00,2012,0276,300 N. EASTMAN AVENUE,LOS ANGELES,CA,90063,ELA,EAST LA STN,,,1,,,,34.0389991219,-118.1846595705
-118.317732848,34.045998469,85,1000007,ANIMAL SHOOTING INCIDENT,2012/02/28 08:45:00+00,2012,5199,1400 ARLINGTON AVENUE,LOS ANGELES,CA,90019,IRC,INMATE RECEPTION CENTER,,,1,,,,34.0459984689,-118.3177328475
-118.162239431,34.0330887000001,86,1000079,ANIMAL SHOOTING INCIDENT,2012/03/15 08:00:00+00,2012,0281,3RD STREET AND MEDNICK AVENUE,EAST LOS ANGELES,CA,90022,ELA,EAST LA STN,,,1,,,,34.0330887003,-118.1622394309
-118.154920461,34.0222500290001,87,1000080,ANIMAL SHOOTING INCIDENT,2012/05/02 18:45:00+00,2012,0286,HUBBARD STREET AND AMALIA AVENUE,EAST LOS ANGELES,CA,90022,ELA,EAST LA STN,,,1,,,,34.0222500295,-118.1549204609
-118.054999259,34.056376986,88,1000082,ANIMAL SHOOTING INCIDENT,2012/05/04 15:55:00+00,2012,0560,9800 KALE STREET,SOUTH EL MONTE,CA,91733,TEM,TEMPLE CITY STN,,,1,,,,34.0563769859,-118.0549992586
-118.178003491,34.0154863060001,89,1000083,ANIMAL SHOOTING INCIDENT,2012/05/05 03:52:00+00,2012,0278,1300 S. SUNOL DRIVE,EAST LOS ANGELES,CA,90022,ELA,EAST LA STN,,,1,,,,34.0154863056,-118.1780034906
-118.306999749,33.9001050050001,90,1000084,ANIMAL SHOOTING INCIDENT,2012/05/17 18:14:59+00,2012,3603,1700 144TH STREET,GARDENA,CA,90247,COP,COPS BUREAU,,,1,,,,33.9001050046,-118.3069997485
