Price,Size,Lon,Lat,ZIP
"$1,700",562ft2,-118.1571396,34.6834923,93534
"$159,900",1344ft2,-117.888855,33.9170444,92821
$700,170ft2,150.2346688,-35.7011849,2536
"$159,900",1344ft2,-117.888855,33.9170444,92821
"$2,873",964ft2,-118.2521002,34.047996,90013
"$2,098",792ft2,-118.5361872244898,34.241411224489795,91324
"$2,470",774ft2,-73.68100245,40.591266950000005,11561
$390,1876ft2,-118.4098875,34.0405878,90064
"$2,095",740ft2,-118.59143265306125,34.2282813877551,91304
"$2,729",1080ft2,121.7141386,17.6210145,3500
"$1,950",300ft2,-118.3715162,34.1417987,91604
"$2,420",900ft2,121.7141386,17.6210145,3500
$950,300ft2,-118.29999116463556,34.05309285,90005
"$2,399",940ft2,-118.111975,34.0159398,90640
"$400,000",2263ft2,-73.7517983,40.9278769,10538
"$2,561",575ft2,-118.4998204,34.2148853,91406
"$3,755",1153ft2,-118.262356,34.0408575,90015
"$2,255",641ft2,-118.25915818784812,34.05749805000001,90017
"$3,721",1170ft2,-118.396466,34.0211224,90232
"$1,595",475ft2,-118.31085377419356,34.084985548387095,90038
"$1,850",750ft2,-118.3415105,34.1010753,90028
"$2,645",724ft2,-73.9865157,40.7476419,10001
"$1,950",844ft2,-118.1435106973105,34.67049049633176,93534
$800,300ft2,-117.7517496,34.0553813,91766
"$2,055",853ft2,-118.1434477,34.670445,93534
"$1,620",440ft2,-118.177701,34.113137,90042
"$1,897",472ft2,-118.4489865,34.1508718,91403
"$3,965",1350ft2,-118.2645198,34.1605626,91202
"$2,431",370ft2,-118.242766,34.0536909,90012
"$5,100",2700ft2,-118.5174342,34.2661558,91344
"$2,595",900ft2,-118.4998204,34.2148853,91406
"$2,808",700ft2,-118.44685070595054,34.070877749999994,90095
"$1,250",200ft2,-118.29475530799805,33.82944295,90502
"$1,900",679ft2,-118.4489865,34.1508718,91403
"$1,250",200ft2,-118.45019146311284,34.0456826,90025
"$1,935",472ft2,-118.4489865,34.1508718,91403
"$1,775",555ft2,-118.49014837369748,34.20713175,91406
"$38,000",108900ft2,-116.3492892,34.1351778,92252
"$2,150",670ft2,-118.491227,34.0194704,90401
"$3,500",1348ft2,-118.2512228,34.0550659,90012
"$2,878",931ft2,-118.2517547,33.8322043,90745
"$1,775",895ft2,-118.143318,34.703864,93534
"$2,295",950ft2,-118.3406288,33.8358492,90503
"$1,647",989ft2,-118.12463073469388,34.673705653061226,0
$950,250ft2,-117.8891164,34.0877926,91723
"$2,800",810ft2,-118.40106334693878,34.02333328571429,90232
"$3,160",856ft2,-118.396466,34.0211224,90232
"$2,605",700ft2,-118.3161262,34.1148012,90068
$995,3700ft2,-118.290485,33.8098085,90710
"$1,695",395ft2,121.7141386,17.6210145,3500
"$7,500",2582ft2,-118.3747521,34.1649502,91601
"$2,293",792ft2,-118.5361872244898,34.241411224489795,91324
"$3,183",700ft2,-118.2623924,34.1186975,90039
"$6,500",2450ft2,-88.80798382506958,14.6151189,0
"$2,163",610ft2,-73.68100245,40.591266950000005,11561
"$4,500",1540ft2,-118.3872871,34.1499888,91604
"$2,808",700ft2,-118.44685070595054,34.070877749999994,90095
"$2,533",603ft2,-82.3247742,23.0888462,11000
"$1,700",562ft2,-118.1571396,34.6834923,93534
$850,250ft2,-118.5369316,34.2345615,91324
"$4,575",877ft2,-118.453755,33.968839,90296
"$2,698",985ft2,121.7141386,17.6210145,3500
"$2,295",741ft2,-2.8830135,53.2642217,CH65 9JJ
"$2,187",600ft2,-118.3965758,34.1637147,91607
"$2,187",600ft2,-118.3965758,34.1637147,91607
"$6,995",2905ft2,-118.3965758,34.1637147,91607
"$4,195",1900ft2,-118.4486675,34.1866193,91401
"$2,755",1008ft2,-118.4489865,34.1508718,91403
"$4,352",1100ft2,-118.3834336457452,34.08691295,90069
"$3,671",1170ft2,-118.396466,34.0211224,90232
"$3,695",1700ft2,-118.3415105,34.1010753,90028
"$1,400",110ft2,-118.536528,34.2006552,91335
"$1,799",630ft2,-118.532237,34.2299673877551,91325
"$3,500",1500ft2,-73.68100245,40.591266950000005,11561
"$1,550",500ft2,-118.536567,34.1689295,91356
"$2,500",855ft2,-118.307201,34.1812089,91502
"$2,327",883ft2,-118.1434477,34.670445,93534
"$1,845",700ft2,-118.4486675,34.1866193,91401
"$2,495",850ft2,-118.3747521,34.1649502,91601
"$2,326",647ft2,-118.2521002,34.047996,90013
"$1,495",500ft2,-118.31234551020408,34.07278073469388,90004
"$2,581",917ft2,-118.60660503062986,34.247065622139914,91311
"$3,199",1119ft2,-118.22407287755102,34.08275155102041,90031
$620,120ft2,-118.5369316,34.2345615,91324
"$2,105",751ft2,-117.905339,33.9761238,91748
"$4,907",1550ft2,-118.242766,34.0536909,90012
"$1,905",618ft2,-118.3961877,34.1483989,91604
"$2,385",850ft2,-3.5881102773279347,37.17605995,18009
"$3,088",700ft2,-118.2623924,34.1186975,90039
"$1,550",500ft2,-118.536567,34.1689295,91356
"$4,000",750ft2,-118.242766,34.0536909,90012
"$1,550",500ft2,-118.536567,34.1689295,91356
"$2,706",721ft2,-118.242766,34.0536909,90012
"$1,475",350ft2,-118.536567,34.1689295,91356
"$2,215",627ft2,-96.5159408,42.9156667,51011
"$2,630",750ft2,-117.8067257,34.1066756,91750
"$1,983",784ft2,-118.49014837369748,34.20713175,91406
"$1,850",500ft2,-118.53726616161616,34.17226548484848,91356
"$2,500",1105ft2,-3.5881102773279347,37.17605995,18009
"$2,099",650ft2,121.7141386,17.6210145,3500
"$4,195",1900ft2,-118.4486675,34.1866193,91401
"$3,781",1224ft2,-118.2517547,33.8322043,90745
"$3,895",1290ft2,-118.5010456,34.1938237,91406
"$3,220",800ft2,-118.242766,34.0536909,90012
"$3,345",800ft2,-118.242766,34.0536909,90012
"$4,159",1400ft2,-118.2645198,34.1605626,91202
"$3,085",788ft2,-118.3961877,34.1483989,91604
"$1,500",450ft2,-118.36440255820172,34.024548550000006,90016
"$3,225",1218ft2,-118.25915818784812,34.05749805000001,90017
